ID_2	Xt	Yt	MOS	pH	ARC	Altura	Zones(4)	TvsPP
180	445299.77	6133187.62	1.92	6.4	17.4	126	IV	0.238848920863309
222	399184.91	6498205.87	1.93	7	24.4	372	III	0.234817813765182
101	480380.6	6596977.65	1.93	6.8	11.7	90	IV	0.21968787515006
143	460321.84	6275948.22	1.94	5.45	9.2	139	IV	0.214285714285714
226	398740.66	6419517.58	1.94	5.98	16.8	421	IV	0.215304798962387
357	314547.33	6135107.22	1.94	6.9	12.6	263	IV	0.304029304029304
223	393818.33	6473952.7	1.95	6.9	21	406	III	0.233606557377049
140	464229.43	6338212.38	1.96	6.7	17.1	166	IV	0.212765957446809
316	358358.83	6422919.2	1.96	6.6	9.5	595	IV	0.247376311844078
365	292274.01	6516661.6	1.98	6.6	10.7	1014	IV	0.28
116	481955.4	6299138.96	2	6.85	13.6	131	IV	0.213032581453634
149	459156.5	6159880.09	2.01	6.1	17.6	129	IV	0.231843575418994
148	456152.09	6175430.28	2.01	6.9	18.3	140	IV	0.229281767955801
202	423547.62	6312202.42	2.03	5.31	11.1	242	IV	0.210850801479655
224	390997.43	6456295.53	2.03	7.2	21	445	III	0.225371120107962
172	431151.69	6297512.12	2.03	5.83	24.1	203	IV	0.212158808933002
203	420675.52	6277073.31	2.03	5.45	13.6	201	IV	0.214285714285714
272	358202.87	6708195.37	2.06	6.7	10.3	158	I	0.36983842010772
200	425171.03	6344753	2.08	6.19	13.9	263	IV	0.211372064276885
67	522520.03	6315973.81	2.08	6.6	21.1	112	III	0.207407407407407
287	360639.91	6397543.36	2.09	7.4	15.5	722	II	0.221598877980365
146	460984.57	6218295.14	2.09	6.2	15.9	146	IV	0.221343873517787
137	457447.09	6401522.79	2.1	6.9	20.2	224	III	0.219195849546044
373	271612.19	6610071.71	2.12	7.1	14.6	279	I	0.425263157894737
88	494748.6	6356124.39	2.12	6.2	19	146	III	0.212045169385194
294	360840.65	6258419.58	2.15	6	19.7	285	IV	0.231607629427793
87	500936.89	6377536.04	2.16	7	21.3	152	III	0.210526315789474
93	495630.78	6254220.95	2.17	5.72	17.6	131	IV	0.214652956298201
21	562334.29	6536964.65	2.17	6	30.5	111	III	0.204387990762125
165	440150.88	6437218.73	2.18	6.8	13	277	III	0.215836526181354
210	415114.34	6136351.04	2.18	6.4	13.1	147	IV	0.241329479768786
25	564983.2	6460703.73	2.19	6.3	23	108	III	0.200463499420626
159	439454.51	6556925.52	2.19	6.7	28.8	213	III	0.219178082191781
54	517735.01	6571859.01	2.19	6.7	27.7	89	III	0.212941176470588
152	431144.15	6693667.17	2.2	6.8	31.5	366	III	0.221411192214112
178	440748.31	6181170.21	2.2	6.6	16.8	145	IV	0.230769230769231
153	441061.88	6675046.78	2.21	6.9	25	226	III	0.22972972972973
81	504966.36	6496753.99	2.21	7	23.1	151	III	0.210206561360875
33	560453.58	6296710.81	2.22	5.8	23.3	123	III	0.202192448233861
9	585406.53	6575712.38	2.22	6	30.1	102	III	0.203351955307263
119	487791.2	6235224.29	2.24	6.7	10.4	132	IV	0.218872870249017
50	534776.97	6267747.44	2.24	5.74	15.9	125	IV	0.208542713567839
118	476134.61	6246140.01	2.24	5.48	16.3	130	IV	0.216944801026958
157	439227.16	6596823.36	2.26	6.6	27.6	184	III	0.226130653266332
214	388211.04	6657911.83	2.26	7.4	14.9	919	II	0.229411764705882
257	374614.17	6394682.13	2.26	7.4	12.4	651	IV	0.215155615696888
48	543884.12	6320334.12	2.27	6.1	22.9	114	III	0.204878048780488
38	540148.34	6525651.17	2.27	6.9	26.2	104	III	0.207990599294947
344	307888.35	6436237.59	2.27	7.4	19.6	777	II	0.26645264847512
288	363104.17	6380446.41	2.28	7.5	12.4	668	II	0.215447154471545
12	578393.83	6514829.82	2.28	6	25.6	109	III	0.200684150513113
133	457980.52	6478448.42	2.28	6.8	23.3	235	III	0.216624685138539
317	348091.44	6386836.04	2.28	6.6	13.4	751	II	0.221438645980254
111	477386.81	6397106.59	2.29	6.2	24.4	193	III	0.222368421052632
162	437738.53	6502293.25	2.29	7.2	23.2	282	III	0.217336683417085
83	503024.7	6459416.44	2.29	7	0.1	164	III	0.211895910780669
76	497504.29	6595467.86	2.3	6.2	12.3	86	III	0.216824644549763
104	472449.69	6531217.66	2.3	7.6	24.4	184	III	0.212636695018226
24	560549.49	6488512.66	2.3	5.8	24.3	111	III	0.202090592334495
89	500780.99	6333918.03	2.3	5.6	18.8	132	III	0.210199004975124
95	500274.48	6213317.47	2.31	7.6	16.7	128	IV	0.221628838451268
78	496547.77	6554849.01	2.31	7.4	25	122	III	0.214114832535885
142	465263.67	6296646.01	2.31	5.69	12.9	150	IV	0.211970074812968
379	281067.79	6495185.77	2.31	7.1	4	382	I	0.354243542435424
22	559369.85	6522721.97	2.32	5.8	32.4	109	III	0.204651162790698
198	420123.24	6377094.15	2.33	5.99	18.6	304	IV	0.211779448621554
147	460561.64	6198267.71	2.33	6.3	17.2	141	IV	0.227951153324288
155	430584.39	6631844.69	2.33	6.8	25.1	255	III	0.230179028132992
141	450952.97	6311663.16	2.35	5.59	20.4	182	IV	0.212158808933002
20	566036.41	6556136.64	2.36	6.4	33.4	105	III	0.204104903078677
123	452452.95	6685685.02	2.37	6.3	29	183	III	0.231143552311436
196	422555.73	6416998.92	2.37	6.7	18.1	306	III	0.213740458015267
158	444384.32	6572176.24	2.37	6.7	24.9	188	III	0.220570012391574
376	284724.37	6544881.61	2.38	8	15.6	1014	II	0.293478260869565
57	516398.81	6523475.26	2.39	7	26.5	128	III	0.210274790919952
72	519430.2	6208789.74	2.39	6.4	22	128	IV	0.214941022280472
138	460815.29	6380175.87	2.39	7.2	14.9	198	III	0.218508997429306
233	401905.27	6279373.63	2.4	6.5	15.4	282	IV	0.214105793450882
90	490612.02	6315769.43	2.4	5.81	12	127	IV	0.2125
117	481424.93	6268437.49	2.41	6.4	17.5	127	IV	0.215189873417722
302	336988.39	6702457.44	2.41	7.6	11.6	227	I	0.398058252427184
58	526721.79	6505980.35	2.43	6.9	29.5	127	III	0.208333333333333
65	522161.5	6361885.51	2.44	6.5	16.7	131	III	0.203883495145631
30	558959.39	6356407.25	2.44	6.5	30.1	109	III	0.199763593380615
261	374332.38	6317590.17	2.45	6.4	19	380	III	0.211442786069652
113	478417.9	6357823.02	2.46	6.9	18.7	162	III	0.213653603034134
106	480565.52	6497231.48	2.47	6.9	24.3	190	III	0.212792127921279
161	442482.7	6521238.9	2.48	7.4	25.1	259	III	0.215174129353234
190	419639.81	6535326.89	2.5	6.9	27.5	314	III	0.216624685138539
285	352374.61	6437236.25	2.51	7.5	18.4	588	II	0.260061919504644
361	292241.24	6594051.38	2.51	7.2	20	418	I	0.377952755905512
336	318722.78	6592812.81	2.51	7.5	15.9	560	I	0.330882352941176
284	364859.82	6456430.94	2.51	7.2	25.4	669	II	0.245827010622155
60	517747.76	6451336.03	2.51	6.5	24.3	146	III	0.208078335373317
129	462475.69	6557023.01	2.51	7.2	23.3	165	III	0.217073170731707
163	437197.36	6476251.34	2.55	6.6	23.2	276	III	0.218274111675127
378	270532.17	6513492.98	2.55	7	7.1	373	I	0.368821292775665
242	365386.79	6695977.78	2.56	6.9	26.9	235	III	0.349565217391304
375	273995.79	6573164.52	2.59	7.9	2.8	684	I	0.356031128404669
5	601138.47	6353446.4	2.6	6.9	28.8	103	III	0.196304849884527
15	581920.37	6376827.26	2.6	6.7	24	113	III	0.200234192037471
360	303239.8	6620640.32	2.62	7.6	13.2	323	I	0.397177419354839
8	589808.18	6593000.87	2.63	6.9	35.7	98	III	0.203559510567297
292	368023.83	6297300.27	2.63	6.2	19.4	345	IV	0.218228498074454
154	433488.84	6656235.7	2.63	6.7	26.5	272	III	0.22961104140527
334	326153.79	6628397.33	2.65	6.8	15.6	366	I	0.371153846153846
160	439488.01	6534812.88	2.65	7	25.3	249	III	0.215880893300248
102	478336.13	6581409.06	2.66	7.4	28.8	114	III	0.217548076923077
105	479440.8	6520630.34	2.66	7.4	22	178	IV	0.213154689403167
45	548155.43	6373990.13	2.66	6.6	19.6	114	III	0.198347107438017
49	541060.12	6295327.98	2.66	5.89	21.4	127	III	0.205191594561187
216	401699.9	6616495.67	2.67	7.2	24.1	513	III	0.229281767955801
367	295007.18	6475753.8	2.67	7.7	14.3	680	II	0.303602058319039
363	299754.13	6554098.11	2.67	8.2	5.8	708	I	0.316455696202532
51	548234.61	6259178.19	2.68	5.51	20.9	126	IV	0.204744069912609
56	518981.65	6539151.93	2.69	7.6	36.7	115	III	0.209715639810427
218	398262.26	6576561.37	2.69	6.9	22.7	513	II	0.20794701986755
201	417917.15	6326745.97	2.69	6.66	14.9	268	III	0.209815950920245
112	477023.58	6378135.27	2.7	6.6	14.1	172	III	0.217503217503217
